一级菜单,二级菜单,三级菜单,页面路径,页面操作按钮,按钮标识
登录注册,登录,登录首页,/user-app/h5/login.html,本机号码一键登录,
,,,,微信登录,
,,,,其他手机登录,
登录注册,登录,手机快速登录,/user-app/h5/login-phone.html,获取验证码,
,,,,登录,
,,,,微信登录,
登录注册,登录,微信授权登录,/user-app/h5/login-wechat.html,微信授权登录,
首页,直播入口,首页,/user-app/h5/home.html,点击进入直播间,
首页,直播入口,直播间,/user-app/h5/live-room.html,加入购物车,
,,,,立即购买,
,,,,立即支付,
,,,,分享,
首页,直播入口,签到,/user-app/h5/checkin.html,立即签到,
商城,浏览购买,商城首页,/user-app/h5/mall.html,搜索,
商城,浏览购买,分类,/user-app/h5/category.html,去结算,
商城,浏览购买,商品详情,/user-app/h5/product-detail.html,加入购物车,
,,,,立即购买,
,,,,联系客服,
商城,浏览购买,商品详情(旧),/user-app/h5/goods-detail.html,加入购物车,
,,,,立即购买,
商城,浏览购买,确认订单,/user-app/h5/order-confirm.html,提交订单,
商城,浏览购买,结算,/user-app/h5/checkout.html,提交订单,
购物车,购物车,购物车,/user-app/h5/cart.html,全选,
,,,,删除,
,,,,清空,
,,,,去结算,
我的,个人中心,我的,/user-app/h5/profile.html,编辑,
,,,,设置,
,,,,全部订单,
我的,个人中心,会员资料,/user-app/h5/profile-edit.html,保存,
我的,个人中心,会员中心,/user-app/h5/member-center.html,去填写,
我的,个人中心,成长值明细,/user-app/h5/growth-detail.html,说明,
,,,,筛选,
我的,个人中心,成长值规则说明,/user-app/h5/growth-rule-desc.html,,
我的,积分,积分明细,/user-app/h5/points-detail.html,筛选,
我的,积分,积分规则说明,/user-app/h5/points-rule-desc.html,,
我的,积分,积分商城,/user-app/h5/points-mall.html,兑换,
我的,积分,积分商品详情,/user-app/h5/points-product-detail.html,立即兑换,
我的,积分,积分兑换确认,/user-app/h5/points-order-confirm.html,确认兑换,
我的,订单,订单列表,/user-app/h5/orders.html,查看详情,
,,,,去支付,
,,,,确认收货,
,,,,申请售后,
,,,,查看物流,
我的,订单,订单详情,/user-app/h5/order-detail.html,确认收货,
,,,,申请售后,
,,,,查看物流,
,,,,再来一单,
我的,订单,订单详情-自提,/user-app/h5/order-detail-pickup.html,申请退款,
,,,,联系卖家,
我的,订单,订单详情-配送,/user-app/h5/order-detail-shipping.html,确认收货,
,,,,申请售后,
,,,,查看物流,
我的,订单,物流详情,/user-app/h5/order-logistics.html,复制运单号,
我的,订单,售后列表,/user-app/h5/order-aftersale-list.html,联系卖家,
,,,,撤销申请,
我的,售后/退款,选择售后类型,/user-app/h5/order-refund-select.html,仅退款,
,,,,退货退款,
,,,,换货,
我的,售后/退款,仅退款,/user-app/h5/order-refund-only.html,提交申请,
我的,售后/退款,退货退款,/user-app/h5/order-refund-return.html,提交申请,
我的,售后/退款,退货退款-寄回,/user-app/h5/order-refund-return-ship.html,预约上门,
,,,,自行寄回,
,,,,关闭退货,
我的,售后/退款,退货退款-退货,/user-app/h5/order-refund-return-goods.html,关闭退货,
,,,,撤销申请,
我的,售后/退款,换货,/user-app/h5/order-refund-exchange.html,提交申请,
我的,售后/退款,发货前售后,/user-app/h5/order-refund-pre-ship.html,提交,
我的,售后/退款,售后详情,/user-app/h5/order-refund-detail.html,撤销申请,
我的,售后/退款,补货,/user-app/h5/order-refund-restock.html,提交,
我的,售后/退款,自提订单售后,/user-app/h5/order-refund-pickup-order.html,复制运单号,
,,,,修改信息,
,,,,取消寄件,
,,,,完成,
我的,售后/退款,编辑自提信息,/user-app/h5/order-refund-pickup-edit.html,保存,
我的,售后/退款,地址簿,/user-app/h5/order-refund-address-book.html,新建地址,
,,,,批量删除,
,,,,确认删除,
我的,售后/退款,新建地址,/user-app/h5/order-refund-address-create.html,保存,
我的,售后/退款,补货页,/user-app/h5/restock.html,搜索,
,,,,提交,
