一级菜单,二级菜单,三级菜单,页面路径,页面操作按钮,按钮标识
业务伙伴,商家主体,所有主体,/user/businessManagement/list,新增门店商家,
,,,,新增供应商商家,
,,,,新增仓库商家,
,,,,禁用,
业务伙伴,商家列表,门店档案,/store/list,新增门店,store:create
,,,,编辑,store:update
,,,,去进件,store:apply
业务伙伴,商家列表,供应商档案,/supplierManager/list,编辑,supplier:update
,,,,去进件,supplier:create
业务伙伴,商家列表,仓库档案,/user/warehouse/list,仓库查询,warehouse:page
,,,,仓库新增,warehouse:create
,,,,仓库编辑,warehouse:update
,,,,仓库删除,warehouse:delete
,,,,仓库启用/停用,warehouse:update-status
,,,,仓库详情,warehouse:detail
业务伙伴,人员中心,主播,/user/bd/anchor/list,启用,
,,,,停用,
,,,,编辑,
,,,,更多,
,,,,查看详情,
,,,,添加主播,
业务伙伴,人员中心,采购员,/user/bd/buyer,启用,
,,,,停用,
,,,,编辑,
,,,,更多,
,,,,查看详情,
,,,,添加采购员,
业务伙伴,人员中心,BD,/user/bd/list,BD列表,member:list
,,,,添加BD,member:create
,,,,编辑BD,member:update
,,,,启用 / 禁用,member:status
,,,,结算信息编辑 / 提现手机号修改,member:settlement
业务伙伴,人员中心,BD推广员详情,/user/bd/detail/:id,,
业务伙伴,新增商家,超管账号,/userManagement/list,,
业务伙伴,会员中心,,/user/consumer,消费者查询,consumer:list
,,,,消费者详情,consumer:detail
,,,,状态变更,consumer:changeStatus
,,,,积分操作,consumer:operatePoint
,,,,优惠券赠送,consumer:sendCoupon
,,,,积分发放（内部）,marketingPoints:grant
,,,,积分扣减（内部）,marketingPoints:deduct
商品,选品库,,/product/list,商品查询,product:list
,,,,商品新增,product:create
,,,,商品修改,product:update
,,,,商品删除,product:delete
,,,,商品审核,product:review
商品,添加商品,,/product/add,编辑商品,
,,,,添加商品,
,,,,详情内容,
,,,,上传接口未返回预览地址,
,,,,上传接口未返回 objectKey,
,,,,详情图,
,,,,审核通过,
,,,,驳回,
,,,,保存,
,,,,提交审核,
,,,,添加规格,
,,,,删除,
,,,,添加规格值,
,,,,驳回原因,
商品,商品类目,,/product/category,类目查询,category:list
,,,,类目新增,category:create
,,,,类目修改,category:edit
,,,,类目删除,category:delete
商品,商品详情,,/product/detail/:id,,
商品,商品品牌,,/product/brand,品牌查询,brand:list
,,,,品牌新增,brand:create
,,,,品牌修改,brand:edit
,,,,品牌删除,brand:delete
商品,商城商品,商品详情,/product/mall/detail:id,上传接口未返回预览地址,
,,,,上传接口未返回 objectKey,
,,,,详情图,
,,,,取消默认,
,,,,上架,
,,,,下架,
商品,商城商品,商品列表,/mall/list,商品列表,mallProduct:list
,,,,商品详情,mallProduct:detail
,,,,编辑货架信息,mallProduct:update
,,,,规格与价格,mallProduct:updatePrice
,,,,删除商品,mallProduct:delete
,,,,上下架,mallProduct:changeStatus
,,,,定时上下架,mallProduct:schedule
,,,,导入商品,mallProduct:import
,,,,选品目录,channelProduct:catalog
商品,商城商品,商城类目,/mall/category,分类查询,mallCategory:list
,,,,分类新增,mallCategory:create
,,,,分类修改,mallCategory:update
,,,,分类删除,mallCategory:delete
商品,商城商品,商城标签,/mall/tag,标签查询,mallTag:list
,,,,标签新增,mallTag:create
,,,,标签修改,mallTag:update
,,,,标签删除,mallTag:delete
商品,代采商品,商品列表,/product/sourcedProducts/list,,
商品,代采商品,类目管理,/product/sourcedProducts/sourcedCategory,,
