一级菜单,二级菜单,三级菜单,页面路径,页面操作按钮,按钮标识
采购售后,请选择服务类型,,/pages/procurement-after-sale/apply,请选择服务类型,"apiProcurementCreateAfterSale, apiProcurementModifyAfterSale, apiProcurementSchedulePickup"
采购售后,售后记录,,/pages/procurement-after-sale/order-item-list,售后记录,"goDetail, noop"
采购售后,退款/售后,,/pages/procurement-after-sale/list,退款/售后,"onTabChange, goDetail, noop"
采购售后,退款详情,,/pages/procurement-after-sale/detail,退款详情,"apiAutoLogisticsNo, apiProcurementCancelAfterSale, apiProcurementConfirmAfterSaleReceive, apiProcurementSubmitReturnLogistics"
采购售后,物流详情,,/pages/procurement-after-sale/reship-logistics,物流详情,"copyNo, callPhone"
采购售后,协商历史,,/pages/procurement-after-sale/negotiation,协商历史,"copyRow, copySegment"
采购售后,修改上门取件信息,,/pages/procurement-after-sale/pickup-edit,修改上门取件信息,"onAddressTap, onTimeTap, onSubmit"
采购售后,选择售后商品,,/pages/procurement-after-sale/select-items,选择售后商品,selectItem
地址管理,地址管理,,/pages/procurement-address/list,地址管理,"apiStoreAddressDelete, apiStoreAddressSetDefault"
地址管理,新增寄件人信息,,/pages/procurement-address/edit,新增寄件人信息,"apiStoreAddressCreate, apiStoreAddressUpdate"
登录,login,,/pages/login/login,页面加载与交互,"apiLogin, apiSendSmsCode, apiSmsLogin"
更多,more,,/pages/more/more,页面加载与交互,onAppClick
拣货,按类型查询,,/pages/pick/type-query,按类型查询,onChooseType
拣货,拣货任务,,/pages/pick/task,拣货任务,"onClaim, onGoTaskList"
拣货,拣货任务-列表,,/pages/pick/task-list,拣货任务-列表,onClaimTask
拣货,拣货任务明细,,/pages/pick/detail,拣货任务明细,onStartDetailTask
拣货,拣货任务执行,,/pages/pick/execute,拣货任务执行,apiConfirmPickExecution
拣货,拣货完成,,/pages/pick/complete,拣货完成,onConfirm
拣货,拣货总览,,/pages/pick/overview,拣货总览,"onViewTaskDetail, onStartPick"
进货订单,进货订单,,/pages/procurement-order/list,进货订单,"onSearchConfirm, onTabChange, goDetail, payOrder"
进货订单,进货订单详情,,/pages/procurement-order/detail,进货订单详情,"apiProcurementAddCart, apiProcurementCancelOrder, apiProcurementChangeOrderPickupStore, apiProcurementConfirmReceive, apiProcurementHideOrder"
进货订单,取消订单,,/pages/procurement-order/cancel,取消订单,apiProcurementCancelOrder
进货订单,确认订单,,/pages/procurement-order/confirm,确认订单,"apiProcurementCreateOrder, apiProcurementPreviewOrder"
进货订单,物流详情,,/pages/procurement-order/logistics,物流详情,"goBack, previewGoodsImage, copyPanelLogisticsNo, callHeaderPhone, onContextPartClick"
进货订单,支付结果,,/pages/procurement-order/payment-success,支付结果,"goHome, goOrders"
库存,库存查询,,/pages/inventory/query,库存查询,"onSearch, goBatchDetail, goAdjust"
库存,盘点调整,,/pages/inventory/adjust,盘点调整,apiExecuteQuickInventoryAdjustment
库存,批次详情,,/pages/inventory/batch-detail,批次详情,goAdjust
门店管理,编辑门店,,/pages/merchant-manage/edit-store,编辑门店,"apiMapGeocode, apiMapPoiSearch, apiMapReverseGeocode, apiSubmitAppStoreOnboarding, apiUpdateStore, apiSendSmsCode"
门店管理,门店档案,,/pages/merchant-manage/detail,门店档案,"apiMapGeocode, apiAdvanceApproval"
门店管理,门店管理,,/pages/merchant-manage/merchant-manage,门店管理,"onSearchConfirm, onClearSearch, onMerchantClick, onContactPhoneAction, onActionAreaClick, onReviewMerchant, onQuickActionAddMerchant, onQuickActionStoreQrcode, onToggleQuickActionMenu"
门店管理,添加门店,,/pages/merchant-manage/add-store,添加门店,"apiMapGeocode, apiMapPoiSearch, apiMapReverseGeocode, apiCreateStore, apiCreateStoreDraft, apiSendSmsCode"
门店管理,资料审核记录,,/pages/merchant-manage/audit-record,资料审核记录,
入库单,入库单明细,,/pages/order-detail/order-detail,入库单明细,apiCloseReceipt
商户进件,商户进件,,/pages/onboarding/list,商户进件,"onSearchConfirm, onClearSearch, onRecordClick, onGoMyMerchants, onCreate"
商户进件,商户进件,,/pages/onboarding/onboarding,商户进件,"apiCreateMerchantDraft, apiUpdateAgreementOnboardingDraft, apiSubmitAgreementOnboarding, apiResubmitAgreementOnboarding, apiSubmitOnboardingByHolder, apiMapGeocode, apiOcrLicense, apiOcrIdCardFront, apiOcrIdCardBack, apiOcrBankPermit"
商户进件,商户详情,,/pages/onboarding/detail,商户详情,apiAdvanceAgreementReview
商户进件,我的商户,,/pages/onboarding/my-merchants,我的商户,"onMerchantClick, closeDetail"
商户线索,商户线索,,/pages/merchant-leads/merchant-leads,商户线索,"onClaimTabChange, onSourceChange, onStatusChange, onCreateLead, onBatchImport, onFollowLead, onConvertLead, onAbandonLead"
设计规范,设计规范,,/pages/design-system/design-system,设计规范,"showModal, showDrawer"
收益,收益明细,,/pages/earnings-ledger/earnings-ledger,收益明细,"filterDrawerVisible, onPeriodChange, onFilterChange"
